,country,expected_deaths,pop,age_sex_adjusted_expected_death_rate
0,Afghanistan,35056.00584,36594776,0.0009579510977195215
1,Albania,14830.56873,3080930,0.004813666240388454
2,Algeria,103049.66840000001,42952039,0.0023991798945796265
3,American Samoa,119.74897,47392,0.0025267760381498987
4,Andorra,592.60565,85722,0.006913110403397027
5,Angola,28351.56049,32521837,0.0008717699584436144
6,Anguilla,66.58027,18066,0.0036853907893280194
7,Antigua and Barbuda,304.39031,98012,0.003105643288576909
8,Argentina,199289.71901,45479650,0.004381953665210704
9,Armenia,14211.68841,3021483,0.004703547367302745
10,Aruba,581.82938,119496,0.004869028084622079
11,Australia,150344.74511000002,25467706,0.005903348543052916
12,Austria,70248.1223,8856348,0.007931951443190805
13,Azerbaijan,29279.56652,10207465,0.002868446428177809
14,"Bahamas, The",1054.9837400000001,349655,0.003017213367462213
15,Bahrain,2544.16549,1504665,0.0016908517776382118
16,Bangladesh,392849.148,162532538,0.00241704924339519
17,Barbados,1397.2181699999999,301001,0.004641905408952129
18,Belarus,52409.919030000005,9468822,0.005534998865751199
19,Belgium,87715.80438,11708235,0.007491804219850387
20,Belize,681.52639,398890,0.0017085572212890772
21,Benin,11103.95142,12861152,0.0008633714475966072
22,Bermuda,513.72828,71818,0.007153196691637194
23,Bhutan,2112.00747,848893,0.0024879548659253875
24,Bolivia,24574.53279,11595674,0.002119284553015202
25,Bosnia and Herzegovina,20235.72655,3832751,0.005279687240313811
26,Botswana,4764.60403,2316910,0.0020564476091000515
27,Brazil,682290.81606,212041332,0.0032177255708806807
28,Brunei,949.5885900000001,464145,0.0020458877936851633
29,Bulgaria,47023.56283,6965462,0.0067509610748002075
30,Burkina Faso,23928.276530000003,20833136,0.0011485681526775423
31,Burma,119813.97259,56599075,0.002116889235203932
32,Burundi,12439.1342,11845890,0.0010500801712661522
33,Cabo Verde,1350.6416100000001,582153,0.002320080133573133
34,Cambodia,27215.26667,17070744,0.001594263651894727
35,Cameroon,30735.08478,27743599,0.001107826161270569
36,Canada,278358.33514,37649603,0.007393393633924905
37,Cayman Islands,302.82726,61952,0.0048880949767561984
38,Central African Republic,6639.0685300000005,5262642,0.001261546677505329
39,Chad,14122.205549999999,16875954,0.0008368241315424301
40,Chile,76372.34658,18182486,0.0042003247839706844
41,China,5834756.63086,1394015977,0.004185573714453919
42,Colombia,141774.68791,49828664,0.0028452436113880156
43,Comoros,1328.43171,852094,0.0015590201433175214
44,Congo (Brazzaville),6405.01183,5292798,0.001210137214758621
45,Congo (Kinshasa),87940.71346,101768560,0.0008641245730508519
46,Cook Islands,42.50395,8539,0.004977626185736035
47,Costa Rica,15889.561010000001,5096857,0.0031175214470407944
48,Croatia,32238.90113,4229585,0.007622237437006231
49,Cuba,68281.78283,11058573,0.00617455641247745
50,Curaçao,831.4443100000001,151370,0.00549279454317236
51,Cyprus,5659.28866,1267376,0.004465358867455278
52,Czechia,72299.84499,10698037,0.006758234710723098
53,Côte d'Ivoire,27592.4844,27470185,0.0010044520777708632
54,Denmark,42954.42025,5868927,0.0073189563015522265
55,Djibouti,1232.354,919627,0.001340058523727555
56,Dominica,343.79533000000004,74522,0.004613340087490943
