,country,expected_deaths,pop,age_sex_adjusted_expected_death_rates,date,observed_death_rates,standardized_residuals
0,Afghanistan,35056.00584,36594776,0.0009579510977195215,2021-09-13,179.965,-0.22110107133463397
1,Albania,14830.56873,3080930,0.004813666240388454,2021-09-13,886.898,-0.13517487345396367
2,Algeria,103049.66840000001,42952039,0.0023991798945796265,2021-09-13,125.424,-0.5837444321216788
4,Andorra,592.60565,85722,0.006913110403397027,2021-09-13,1680.585,0.419637364336911
5,Angola,28351.56049,32521837,0.0008717699584436144,2021-09-13,39.636,-0.3777914018363301
7,Antigua and Barbuda,304.39031,98012,0.003105643288576909,2021-09-13,486.184,-0.28137210479235014
8,Argentina,199289.71901,45479650,0.004381953665210704,2021-09-13,2491.787,1.9417016900500312
9,Armenia,14211.68841,3021483,0.004703547367302745,2021-09-13,1690.628,0.8834315552849862
11,Australia,150344.74511000002,25467706,0.005903348543052916,2021-09-13,42.733,-1.407185435926121
12,Austria,70248.1223,8856348,0.007931951443190805,2021-09-13,1198.708,-0.39113493449951064
13,Azerbaijan,29279.56652,10207465,0.002868446428177809,2021-09-13,599.999,-0.09177790466208563
14,Bahamas,1054.9837400000001,349655,0.003017213367462213,2021-09-13,1166.5,0.5795023427799091
15,Bahrain,2544.16549,1504665,0.0016908517776382118,2021-09-13,793.916,0.3903922349650545
16,Bangladesh,392849.148,162532538,0.00241704924339519,2021-09-13,162.185,-0.541839124258333
17,Barbados,1397.2181699999999,301001,0.004641905408952129,2021-09-13,180.739,-0.9749807037338916
18,Belarus,52409.919030000005,9468822,0.005534998865751199,2021-09-13,416.081,-0.8674656298931608
19,Belgium,87715.80438,11708235,0.007491804219850387,2021-09-13,2189.844,0.9358859700285963
20,Belize,681.52639,398890,0.0017085572212890772,2021-09-13,943.408,0.5721905193382305
21,Benin,11103.95142,12861152,0.0008633714475966072,2021-09-13,11.324,-0.41125183626781237
23,Bhutan,2112.00747,848893,0.0024879548659253875,2021-09-13,3.847,-0.7525622797607986
